title,photo_url,res1,res2,res3,res4,mos1,mos2,mos3,mos4,final_mos
  a black and white drawing of a man sitting on a chair,https://storage.yandexcloud.net/svg-images-first-pack/good1390364191svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"  a banana, lemon and a blueberry are shown",https://storage.yandexcloud.net/svg-images-first-pack/goodcolortheory3svg.png,5.0,2.0,1.0,1.0,5.0,3.5,3.0,3.0,3.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodCityMasterPlanExamplesvg.png,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.25
  two checkered flags on a black background,https://storage.yandexcloud.net/svg-images-first-pack/goodCheckeredRacingFlagssvg.png,5.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0
  a gift box with polka dots on it,https://storage.yandexcloud.net/svg-images-first-pack/goodColoredChristmasPresentsvg.png,2.0,2.0,1.0,1.0,3.5,3.5,3.0,3.0,3.25
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodComicCharacter342svg.png,1.0,1.0,1.0,1.0,1.0,1.5,2.0,2.0,1.625
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodcloud2svg.png,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
  many different colored paw prints on black background,https://storage.yandexcloud.net/svg-images-first-pack/goodColorfulPawPrintsPatternBackgroundReinvigorated3NoBlackbackgroundsvg.png,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0
  a cartoon owl sitting on a branch,https://storage.yandexcloud.net/svg-images-first-pack/goodCartoons2016050614svg.png,5.0,1.0,2.0,2.0,5.0,1.0,2.0,2.0,2.5
  a book icon in a circle,https://storage.yandexcloud.net/svg-images-first-pack/goodbookiconsvg.png,4.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0
  a blue bird flying in the air with a white bird flying next to it,https://storage.yandexcloud.net/svg-images-first-pack/goodaudifonosvg.png,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodafricansclimbingfenceeuropesvg.png,4.0,4.0,4.0,5.0,3.5,4.0,3.5,4.5,3.875
  ice cream cone clip art,https://storage.yandexcloud.net/svg-images-first-pack/good1487499530svg.png,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
  a black background with a white clock on it,https://storage.yandexcloud.net/svg-images-first-pack/goodcgbugHalloweenLargeDeadTreesvg.png,5.0,5.0,5.0,4.0,3.0,3.5,3.5,2.5,3.125
  the logo for the x - logo,https://storage.yandexcloud.net/svg-images-first-pack/good1536010787svg.png,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.5,4.375
